t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.098598,-1.078219611,-0.20312605,1.193811386,0.979388782,-0.118811176,0.155426741,0.050239749,4.144641258,3.272458559,0.141553914,3.049616951,-2.886697191,-0.057423694,34.58910563,26.9288031,38.11670282,83.0859789,-56.34989656,7.557093751,4.373200554,3.376927277,3.476836512,3.562414577,0.523169306,0.195575242,0.089999355,0.955123766,0.003825475,0.089882126,0.965033797,0.00200521,0.08996622,0.965034622,0.00200521,0.044774051,0.965035864,0.002005211,0.035959148,0.965038358,0.002005211,0.045168109
0.101885,-0.952093067,-0.10351419,1.199891655,0.989941708,-0.069647805,0.113671544,0.047364114,4.258321803,3.360962756,0.266828258,3.322687306,-3.071896745,-0.032586552,23.56665859,12.50431267,39.96811037,60.40156178,-32.35600856,10.04646403,4.223202514,3.226930828,3.626834225,3.412420033,2.45E-05,0.523144843,0.086754449,0.950416677,0.004707089,0.089916349,0.962804094,0.002229703,0.089972074,0.962804919,0.002229704,0.044794147,0.96280616,0.002229704,0.032112906,0.962808651,0.002229707,0.045391764
0.105171,-0.823093031,-0.001949827,1.209839351,0.996458532,-0.016522134,0.069434922,0.04445426,4.335775976,3.402059426,0.398187438,3.521203061,-3.178237993,0.000432154,12.20277996,-2.365435014,39.34709616,37.97167805,-8.042995365,12.5357906,4.073204229,3.07693476,3.776832139,3.262430331,1.95E-05,4.95E-06,0.033686816,0.944448985,0.005967692,0.08994378,0.960310718,0.002493376,0.089977161,0.960311538,0.00249338,0.044849553,0.96031277,0.00249339,0.033657048,0.960315225,0.002493427,0.045972514
0.108458,-0.692326941,0.100118017,1.223718402,0.99807267,0.039178452,0.023976458,0.04172644,4.375881629,3.394285188,0.527505593,3.646000767,-3.204672099,0.04163228,1.00770318,-17.05357884,36.04985257,15.7420138,16.5579094,15.02494855,3.923205834,2.926940093,3.926830114,3.112459499,1.71E-05,2.47E-06,0.038259583,0.936608954,0.00784003,0.089964589,0.957510849,0.002799868,0.089981467,0.957510883,0.002800656,0.044959073,0.957510916,0.002801854,0.038348657,0.957510951,0.002804273,0.051485497
0.111744,-0.56091123,0.201227066,1.241336546,0.994370288,0.095998727,-0.021371293,0.039436137,4.379193546,3.338236901,0.645987028,3.697738465,-3.150252879,0.091013271,-9.580966211,-31.37179134,31.70395781,7.117389425,54.91047614,16.06559219,3.773207439,2.776950297,4.076828046,3.137042266,1.54E-05,1.65E-06,0.041208036,0.925851717,0.010757238,0.089979401,0.954359626,0.003151224,0.089977754,0.954360864,0.003150018,0.045156679,0.954363344,0.003147572,0.04145658,0.954763315,0.002747636,0.089939713
0.115031,-0.429923776,0.299944639,1.262316045,0.985396386,0.152788934,-0.064910971,0.037894922,4.347704746,3.23513038,0.750185247,3.721130475,-2.969784124,0.143814442,-19.61749143,-46.10968715,28.21105559,-12.18318618,82.77280434,13.91492067,3.623209146,2.886193933,4.226825813,3.286972637,1.42E-05,1.24E-06,0.042688789,0.91026147,0.015590247,0.089989164,0.950812674,0.003546951,0.089981964,0.950813915,0.003546949,0.045547525,0.950816406,0.003546938,0.043063893,0.952234165,0.00252915,0.089927546
0.118318,-0.300384185,0.394837913,1.286268993,0.971657882,0.208512906,-0.104900259,0.037405972,4.283229904,3.083586296,0.842903694,3.681089219,-2.697743049,0.189547216,-28.62214368,-60.49041978,22.74172515,-35.10619775,107.1383021,11.4260626,3.473211075,3.03618331,4.376823237,3.436911555,1.32E-05,9.90E-07,0.043462565,0.885998008,0.024263462,0.089995005,0.946829609,0.003983065,0.089985298,0.946830834,0.003983081,0.046629055,0.946833327,0.003983079,0.043979315,0.949919638,0.002314527,0.08991187
0.121604,-0.173235055,0.484468004,1.312749669,0.954116288,0.261902792,-0.140032827,0.038206995,4.189160375,2.8847785,0.917646641,3.5657092,-2.345622337,0.22710011,-36.08900823,-73.99157692,15.49984971,-58.51157747,131.092701,8.937332803,3.323213421,3.18617756,4.526819985,3.586829881,1.24E-05,8.25E-07,0.043902129,0.844478378,0.04151963,0.089998073,0.942377841,0.004451768,0.089987891,0.94237786,0.004452974,0.064492669,0.942380355,0.004452973,0.044643262,0.947807338,0.0021123,0.089892177
0.124891,-0.049291557,0.567457549,1.341125674,0.934098026,0.311739618,-0.169218563,0.040549822,4.070550251,2.641597805,0.968588443,3.373405066,-1.914773103,0.256473546,-41.65149246,-86.31247154,7.240302554,-82.3875946,154.5996297,6.449178587,3.173216555,3.336173238,4.676815242,3.736676714,1.16E-05,7.07E-07,0.044171233,0.764327532,0.080150847,0.08999941,0.937435828,0.004942013,0.089943337,0.938201843,0.004176017,0.089982754,0.938204338,0.004176017,0.045012498,0.945879917,0.00192742,0.089867997
0.128177,0.070801785,0.642531965,1.370625909,0.913188091,0.356941123,-0.191521265,0.044722065,3.933658468,2.357923261,0.992384419,3.102630022,-1.406666005,0.277669414,-45.05236651,-97.29594663,-1.165776031,-106.7106826,177.6312735,3.964020837,3.023221405,3.486169419,4.826805735,3.886158898,1.10E-05,6.18E-07,0.044346195,0.596356846,0.167970685,0.089999849,0.931992968,0.00544286,0.08995054,0.93439913,0.003802713,0.089978689,0.934401625,0.003802713,0.045260208,0.94411797,0.001761947,0.089838933
0.131464,0.186601776,0.708541931,1.400421377,0.893110689,0.396546534,-0.206151006,0.05104716,3.785589373,2.038150431,0.98855298,2.751914723,-0.822863113,0.290697564,-44.90477927,-103.8756035,-11.0830958,-143.364833,166.2590399,2.772610872,2.873231724,3.636165638,4.836220795,3.739163272,1.05E-05,5.49E-07,0.044465508,0.344366478,0.251990368,0.089999922,0.926047004,0.005945964,0.089955975,0.930919539,0.003479591,0.089973904,0.930922034,0.003479591,0.045472966,0.942502053,0.001615917,0.089804675
0.134751,0.29794945,0.764619788,1.429599753,0.875544148,0.429446781,-0.21320508,0.059509683,3.638005338,1.696752902,0.952127281,2.280731904,-0.2764362,0.299810026,-43.69700493,-110.8076334,-17.6365098,-154.6023964,166.1774487,0.05381655,2.795003453,3.786161522,4.828467754,3.830824324,9.99E-06,4.94E-07,0.044550122,0.175260012,0.169106466,0.08999976,0.919596807,0.006450197,0.089960107,0.927712019,0.003207521,0.089968494,0.927714512,0.003207521,0.04568436,0.941013995,0.001488059,0.089764976
0.138037,0.404914577,0.810101383,1.457345627,0.861796806,0.454890762,-0.213289911,0.069914044,3.494390775,1.332572566,0.894163133,1.772615713,0.269722554,0.299986899,-40.48242522,-115.2103143,-22.73518391,-155.1913132,118.8570975,0.002462358,2.944990687,3.936156663,4.678481743,3.68701903,9.54E-06,4.49E-07,0.044612103,0.085845826,0.089414186,0.089998758,0.912632638,0.006964169,0.089963348,0.924729005,0.002983014,0.089962606,0.924731497,0.002983016,0.04592921,0.939637532,0.001376463,0.089719624
0.141324,0.507719267,0.844428893,1.483082557,0.852360747,0.472918541,-0.207686739,0.081824996,3.361341248,0.953922381,0.819441684,1.262563988,0.660358257,0.299994992,-36.33544943,-118.2155967,-25.65403751,-155.8852107,71.06734289,0.000479475,3.094982977,4.086150553,4.528490476,3.53726512,9.13E-06,4.11E-07,0.044658744,0.033838211,0.052007614,0.089993852,0.90512472,0.007507918,0.089966054,0.921927936,0.002801068,0.089956433,0.921930426,0.002801071,0.046262319,0.938358503,0.001279029,0.089668417
0.14461,0.606732282,0.867238031,1.50641647,0.847109065,0.483800551,-0.198616291,0.094311864,3.24192117,0.565395035,0.735127131,0.7502317,0.893928165,0.299996568,-31.965002,-119.9496428,-26.55017353,-156.2331902,23.26086481,-0.000120174,3.244975949,4.236142662,4.378498698,3.387346467,8.75E-06,3.79E-07,0.044694682,4.05E-05,0.033797759,0.089956549,0.897011556,0.008113164,0.089968524,0.91927178,0.002656156,0.08995019,0.919274263,0.002656163,0.046807405,0.937164834,0.001193669,0.089611095
0.147897,0.702379078,0.878295659,1.527161065,0.845763945,0.487789196,-0.188234493,0.106361294,3.136865004,0.171168573,0.647867339,0.236755742,0.970377317,0.299996173,-28.03489305,-120.4636046,-25.66094947,-156.2263406,-24.54971669,-0.000333305,3.394966469,4.386133088,4.228510393,3.23738394,8.40E-06,3.50E-07,0.044722979,2.84E-05,1.20E-05,0.042837683,0.88818706,0.008824496,0.089970994,0.916728659,0.002543121,0.089944093,0.916731104,0.00254316,0.047974246,0.936046357,0.001118477,0.089547314
