t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.0990376,-1.23699424,0.043641901,1.187079039,0.985260081,0.026491538,0.163719931,-0.041911058,4.028720487,-2.746166657,0.218058328,-2.244496959,-3.795866654,-0.27035728,36.35185648,-3.585617338,32.21553614,-93.26365588,-34.01712261,-2.469279303,3.184149423,3.816169799,3.448544971,3.088248494,0.567958742,0.151532757,0.089999013,0.951443543,0.00380588,0.089873356,0.964434542,0.001683069,0.089949828,0.964435367,0.001683069,0.044888661,0.96443661,0.001683069,0.036936202,0.964439105,0.001683069,0.044830404
0.102039,-1.114390011,-0.03898624,1.195039231,0.993195356,-0.011874494,0.108138803,-0.041568718,4.137817481,-2.756927595,0.314741648,-2.524394204,-3.897956786,-0.277767931,21.89387541,7.944141153,35.21376628,-93.55699284,17.86700453,-2.469283686,3.034152671,3.666172135,3.5985401,3.238245015,2.51E-05,0.567933596,0.089999186,0.946832268,0.004611275,0.089906872,0.962594065,0.001840477,0.089957066,0.96259489,0.001840477,0.044903156,0.962596132,0.001840477,0.032676634,0.962598627,0.001840478,0.044905482
0.10504,-0.989160242,-0.12142733,1.206054143,0.996342197,-0.054382573,0.051853718,-0.040693093,4.203524056,-2.733086118,0.420423074,-2.805171795,-3.844335412,-0.285178596,7.411213415,20.54848715,35.45565959,-93.47828402,69.78643203,-2.469277471,2.884157524,3.516174337,3.748535037,3.38824192,1.97E-05,5.46E-06,0.03196439,0.941107716,0.005724552,0.089934361,0.960572184,0.002021881,0.089963577,0.960573009,0.002021881,0.044934899,0.960574251,0.002021881,0.031852585,0.960576745,0.002021882,0.045019533
0.108041,-0.862614464,-0.202592649,1.220272098,0.994120742,-0.100732163,-0.002563878,-0.039627993,4.225766141,-2.671417241,0.526830456,-3.08571317,-3.634896592,-0.292589242,-6.175889921,33.90489165,32.76786252,-92.99744965,121.7373124,-2.46918511,2.734174087,3.366176589,3.898528035,3.538239065,1.71E-05,2.58E-06,0.035861721,0.93379936,0.007308356,0.089955934,0.95834309,0.002229094,0.089969303,0.958343915,0.002229094,0.0449922,0.958345157,0.002229094,0.035755788,0.95834765,0.002229096,0.045208169
0.111042,-0.736023289,-0.281311023,1.237583137,0.986434637,-0.150568769,-0.052534093,-0.038934404,4.207231434,-2.56966393,0.625171384,-3.364811493,-3.269545929,-0.299999612,-18.40242576,48.6954571,30.05659696,-66.5439981,147.9617458,0.256781563,2.884164195,3.216179118,4.048508001,3.688236377,1.54E-05,1.69E-06,0.039579678,0.924157661,0.009641699,0.089972052,0.955879633,0.002463457,0.089974238,0.955880457,0.002463458,0.045088042,0.955881696,0.002463461,0.039652516,0.955884179,0.002463471,0.045604409
0.114043,-0.610552436,-0.356314248,1.257743223,0.973666374,-0.202968134,-0.096130214,-0.039200465,4.152003186,-2.423522068,0.715375426,-3.564519317,-2.825492083,-0.299228974,-28.23577989,62.71794402,22.33249437,-17.40704149,151.3292374,0.586711871,3.034161141,3.066181762,3.93481663,3.838233189,1.42E-05,1.26E-06,0.041683874,0.910927108,0.013230552,0.089983441,0.953153785,0.002725848,0.08997842,0.953153824,0.002726633,0.045247511,0.953153864,0.002727833,0.041889275,0.953153905,0.002730275,0.047334066
0.117044,-0.487199335,-0.426298323,1.280277854,0.956659936,-0.256010096,-0.1326494,-0.040800743,4.067263671,-2.235296766,0.782398358,-3.616760278,-2.371331925,-0.29746817,-35.53960414,75.74744975,12.51172708,34.83141453,151.2130523,0.586849343,3.184159257,2.916184807,3.784832568,3.98822907,1.32E-05,1.01E-06,0.042805351,0.891871946,0.019055163,0.089990976,0.950136946,0.003016838,0.089973543,0.950138181,0.003015642,0.045527072,0.950140648,0.003013216,0.04310627,0.950355752,0.002798152,0.089933632
0.120046,-0.366735748,-0.490040201,1.30439127,0.936661861,-0.307340372,-0.162113414,-0.043882329,3.960604359,-2.007968099,0.819947797,-3.512226342,-1.917520454,-0.295706953,-40.43874374,87.32871188,1.77847356,87.05474122,150.7116804,0.586928836,3.334157814,2.76618874,3.634840527,4.138222905,1.23E-05,8.36E-07,0.043439682,0.862702579,0.029169367,0.089995574,0.94679976,0.003337186,0.089977734,0.946800999,0.003337182,0.046126939,0.946803488,0.00333716,0.043837036,0.947821536,0.002534216,0.089917406
0.123047,-0.249709841,-0.546428292,1.329151354,0.915259197,-0.354717678,-0.1847483,-0.048414865,3.839242047,-1.745882449,0.825285244,-3.250962916,-1.46521367,-0.293945498,-43.1595733,97.07342608,-8.916924842,139.2591851,149.8321647,0.587030554,3.484156563,2.616194734,3.484846183,4.288210122,1.16E-05,7.15E-07,0.043824958,0.814457531,0.048245048,0.089998101,0.943111251,0.003688509,0.089981216,0.943111275,0.003689724,0.048245844,0.943113768,0.00368972,0.044347395,0.945522055,0.002299481,0.089897538
0.126048,-0.136462454,-0.594500421,1.353586125,0.894310003,-0.39611192,-0.200906439,-0.054235851,3.709714144,-1.454551551,0.798524308,-2.833026669,-1.015546436,-0.292183737,-43.9816307,104.6266234,-18.72572532,189.5610186,146.7064567,0.787322332,3.634155369,2.466207543,3.334851049,4.416160521,1.10E-05,6.24E-07,0.044073837,0.72711383,0.087343701,0.089999302,0.939037062,0.004074189,0.089936312,0.93909929,0.004011985,0.089978181,0.939101784,0.004011983,0.044773708,0.943428695,0.00209336,0.089873666
0.129049,-0.027150061,-0.633477072,1.376765261,0.875811354,-0.429734114,-0.211076901,-0.06107012,3.577719133,-1.140552455,0.742325794,-2.2641276,-0.575259888,-0.289820873,-43.30925469,109.8004443,-26.83580201,221.4486979,124.970128,1.358660469,3.78415412,2.403355937,3.18485598,4.416144742,1.04E-05,5.54E-07,0.044242928,0.561175668,0.165938161,0.08999976,0.934535843,0.004501219,0.089945421,0.935244563,0.003854727,0.089975695,0.935247057,0.003854727,0.04502519,0.941515068,0.001913628,0.089845449
0.13205,0.078224622,-0.662785823,1.397876485,0.861477923,-0.454357342,-0.216169217,-0.068454496,3.447742016,-0.811025999,0.661787807,-1.599529156,-0.200207095,-0.285743343,-42.52704064,114.7966654,-31.45811213,234.9746137,84.9940818,-0.003968497,3.934152664,2.553338299,3.034862169,4.416113234,9.93E-06,4.98E-07,0.044362666,0.31280228,0.248373388,0.089999856,0.929555185,0.004980658,0.089953353,0.931529102,0.003715461,0.089973063,0.931531596,0.003715461,0.04525448,0.939757742,0.001757326,0.089812561
0.135051,0.179731811,-0.681970621,1.4163447,0.852291246,-0.469531142,-0.217740989,-0.075689843,3.320112433,-0.466505187,0.567377623,-0.894337551,0.054872005,-0.285755253,-41.61100572,118.1131318,-33.54630465,248.2115882,44.96649823,-1.366963211,4.084150768,2.703329097,2.884871987,4.416116727,9.47E-06,4.52E-07,0.044450374,0.114567115,0.198235165,0.089999621,0.924025201,0.005529984,0.089960322,0.927929887,0.003599215,0.089970417,0.927932381,0.003599216,0.045497936,0.93813638,0.001621362,0.089774684
